"id","created_at","created_by","updated_at","updated_by","address","description","internet_cost","is_approve","is_locked","is_remove","latitude","longitude","price","public_electric_cost","status","title","water_cost","category_id","location_id","user_id","type"
"8","2025-06-11 11:31:14.820576","thanhvuvpt@gmail.com","2025-06-14 03:12:01.352532","thanhvuvpt@gmail.com","Long Biên, Phố Gầm Cầu, Khu phố cổ, Quận Hoàn Kiếm, Thành phố Hà Nội, 11009, Việt Nam","33 square meters","155000.00","t","ENABLE","f","21.0399392","105.8499991","3700000.00","0.00","HIRED","Room 108","3900.00","2","1","2","REGULAR"
"12","2025-06-11 12:20:57.956339","thanhvuvpt@gmail.com","2025-06-14 08:45:56.724714","thanhvuvpt@gmail.com","Quận Đống Đa, Thành phố Hà Nội, Việt Nam","40 square meters","170000.00","f","ENABLE","f","21.0136436","105.8225234","5200000.00","3800.00","ROOM_RENT","Room 202","4000.00","2","1","2","REGULAR"
"10","2025-06-11 11:34:39.969688","thanhvuvpt@gmail.com","2025-06-14 01:42:50.466866","thanhvuvpt@gmail.com","Quận Bắc Từ Liêm, Thành phố Hà Nội, Việt Nam","27 square meters","110000.00","f","ENABLE","f","21.0712548","105.7644855","3000000.00","0.00","ROOM_RENT","Room 110","3200.00","2","2","2","REGULAR"
"5","2025-06-11 11:13:45.106638","thanhvuvpt@gmail.com","2025-06-14 01:23:06.778458","thanhvuvpt@gmail.com","Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam","48 square meters","160000.00","t","ENABLE","f","21.0088541","105.8507816","5500000.00","0.00","ROOM_RENT","Room 105","4500.00","2","1","2","REGULAR"
"2","2025-06-11 10:52:03.673453","thanhvuvpt@gmail.com","2025-06-14 08:56:34.312864","thanhvuvpt@gmail.com","Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam","42 square meters","180000.00","t","ENABLE","f","21.0295015","105.7914212","5000000.00","0.00","ROOM_RENT","Room 102","4000.00","2","1","2","VIP"
"9","2025-06-11 11:32:48.819454","thanhvuvpt@gmail.com","2025-06-14 08:58:01.536466","thanhvuvpt@gmail.com","Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam","50 square meters","120000.00","f","ENABLE","f","21.0173512","105.7613329","6000000.00","0.00","ROOM_RENT","Room 109","4000.00","2","1","2","VIP"
"14","2025-06-11 12:24:28.264028","thanhvuvpt@gmail.com","2025-06-13 23:04:50.188142","thanhvuvpt@gmail.com","Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam","36 square meters","160000.00","f","ENABLE","f","21.0088541","105.8507816","4800000.00","0.00","ROOM_RENT","Room 204","4300.00","2","1","2","REGULAR"
"21","2025-06-13 16:49:35.100461","thanhvuvpt@gmail.com","2025-06-14 01:56:40.269689","thanhvuvpt@gmail.com","Phường Quan Hoa, Quận Cầu Giấy, Thành phố Hà Nội, 10198, Việt Nam","25 square meters","100000.00","t","DISABLE","f","21.0369183","105.801915","3400000.00","5000.00","ROOM_RENT","Room 111","3500.00","2","1","2","REGULAR"
"4","2025-06-11 10:54:58.218573","thanhvuvpt@gmail.com","2025-06-14 02:39:10.552427","thanhvuvpt@gmail.com","Quận Hoàn Kiếm, Thành phố Hà Nội, Việt Nam","28 square meters","130000.00","t","ENABLE","f","21.0281683","105.8511514","4500000.00","0.00","HIRED","Room 104","3200.00","2","1","2","REGULAR"
"23","2025-06-14 15:52:57.25644","thanhvuvpt@gmail.com","","thanhvuvpt@gmail.com","Khu nhà ở 183 Hoàng Văn Thái, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam","42 square meters","120000.00","f","ENABLE","f","20.9960233","105.8232053","4000000.00","4001.00","ROOM_RENT","Room 207","5000.00","2","1","2","VIP"
"7","2025-06-11 11:29:46.607583","thanhvuvpt@gmail.com","2025-06-14 03:09:52.206405","thanhvuvpt@gmail.com","Quận Ba Đình, Thành phố Hà Nội, Việt Nam","39 square meters","145000.00","t","ENABLE","f","21.0344448","105.8318269","4000000.00","0.00","ROOM_RENT","Room 107","4200.00","2","1","2","REGULAR"
"15","2025-06-11 12:26:10.682404","thanhvuvpt@gmail.com","2025-06-14 10:54:33.538564","thanhvuvpt@gmail.com","Quận Ba Đình, Thành phố Hà Nội, Việt Nam","45 square meters","120000.00","f","ENABLE","f","21.0344448","105.8318269","5800000.00","3800.00","ROOM_RENT","Room 205","4000.00","2","1","2","VIP"
"13","2025-06-11 12:22:31.625769","thanhvuvpt@gmail.com","2025-06-14 08:46:29.782508","thanhvuvpt@gmail.com","Cầu Giấy, Đường Cầu Giấy, Phường Ngọc Khánh, Quận Ba Đình, Thành phố Hà Nội, 10298, Việt Nam","25 square meters","120000.00","f","ENABLE","f","21.0292159","105.8033629","3100000.00","3800.00","ROOM_RENT","Room 203","3300.00","2","1","2","REGULAR"
"3","2025-06-11 10:53:37.035954","thanhvuvpt@gmail.com","2025-06-14 08:46:47.488918","thanhvuvpt@gmail.com","Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam","35 square meters","120000.00","t","ENABLE","f","20.9944171","105.8171316","3800000.00","4000.00","ROOM_RENT","Room 103","3800.00","2","1","2","REGULAR"
"6","2025-06-11 11:15:14.563814","thanhvuvpt@gmail.com","2025-06-14 01:23:31.197811","thanhvuvpt@gmail.com","Quận Tây Hồ, Thành phố Hà Nội, Việt Nam","25 square meters","100000.00","t","ENABLE","f","21.0683576","105.8240984","3300000.00","0.00","ROOM_RENT","Room 106","3000.00","2","1","2","REGULAR"
"1","2025-06-11 10:27:17.140452","thanhvuvpt@gmail.com","2025-06-14 08:43:45.376021","thanhvuvpt@gmail.com","Ngõ 1194 Đường Láng, Phường Láng Thượng, Quận Đống Đa, Thành phố Hà Nội, 10198, Việt Nam","25 square meters","100000.00","t","ENABLE","f","21.0275453","105.8008455","3000000.00","56000.00","ROOM_RENT","Room 101","500000.00","2","1","2","REGULAR"
"17","2025-06-11 15:56:53.152808","hungnguyen@gmail.com","2025-06-14 15:36:13.324514","hungnguyen@gmail.com","Quận Đống Đa, Thành phố Hà Nội, Việt Nam","30 square meters","150000.00","f","ENABLE","f","21.0136436","105.8225234","3200000.00","0.00","ROOM_RENT","Room 101A","3500.00","2","1","6","REGULAR"
"19","2025-06-11 16:00:54.78038","hungnguyen@gmail.com","2025-06-14 15:36:44.934264","hungnguyen@gmail.com","Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam","35 square meters","120000.00","t","ENABLE","f","20.9944171","105.8171316","3800000.00","0.00","ROOM_RENT","Room 103A","3800.00","2","1","6","REGULAR"
"11","2025-06-11 12:13:20.090796","thanhvuvpt@gmail.com","2025-06-14 08:45:12.438165","thanhvuvpt@gmail.com","Quận Tây Hồ, Thành phố Hà Nội, Việt Nam","29 square meters","140000.00","f","ENABLE","f","21.0683576","105.8240984","3600000.00","4000.00","ROOM_RENT","Room 201","3500.00","2","1","2","REGULAR"
"16","2025-06-11 13:42:11.139627","thanhvuvpt@gmail.com","2025-06-14 08:48:20.448157","thanhvuvpt@gmail.com","Quận Hoàn Kiếm, Thành phố Hà Nội, Việt Nam","27 square meters","110000.00","f","ENABLE","f","21.0281683","105.8511514","3300000.00","4000.00","ROOM_RENT","Room 206","3200.00","2","1","2","REGULAR"
"22","2025-06-14 09:10:44.969322","thanhvuvpt@gmail.com","2025-06-14 09:11:44.453496","thanhvuvpt@gmail.com","Ao cá đình Khương Hạ, Phường Khương Đình, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam","25 square meters","100000.00","f","ENABLE","f","20.9924957","105.8168883","3000000.00","3300.00","ROOM_RENT","Room 110","5000.00","2","1","2","REGULAR"
"20","2025-06-11 17:48:44.019992","thanhvuvpt@gmail.com","2025-06-14 10:54:19.166755","thanhvuvpt@gmail.com","Trường Đại học Giao thông Vận tải, 3, Đường Cầu Giấy, Phường Láng Thượng, Quận Đống Đa, Thành phố Hà Nội, 10298, Việt Nam","48 square meters","120000.00","f","DISABLE","f","21.027598","105.8026539","5000000.00","0.00","ROOM_RENT","Room 111","3500.00","2","1","2","VIP"
